vin,bodystyle,exterior_color,fuel_type,make,mileage,model,price,trim,year
2CTFLREC1B6273956,SUV,Quicksilver Metallic,Gasoline,GMC,105178,Terrain,10667,SLE-1,2011
5N1AN08W79C501764,SUV,Night Armor,Gasoline,Nissan,105934,Xterra,14999,SE,2009
JF1ZNAA12H9707460,Coupe,Orange,Gasoline,Toyota,31063,86,24995,Base,2017
5YMKT6C31H0U39543,SUV,Black Sapphire Metallic,Gasoline,BMW,39900,X5 M,63995,Base,2017
2LNHM82V38X640016,Sedan,Silver,E85 Flex Fuel,Lincoln,129947,Town Car,9995,Signature Limited,2008
ZAM45KLA6C0063512,Coupe,NULL,Gasoline,Maserati,50585,GranTurismo,35941,S Automatic,2012
W1KZF8KB5MA935281,Sedan,Obsidian Black,Gasoline,Mercedes-Benz,5790,AMG E 63,118667,S 4MATIC,2021
JACCN57X217D00597,SUV,Proton Yellow,Gasoline,Isuzu,103567,VehiCROSS,15998,LX,2001
WBA3A9C5XDF475970,Sedan,Black,Gasoline,BMW,145299,335,15995,i,2013
58ADA1C10NU022447,Sedan,Red,Hybrid,Lexus,1786,ES 300h,50899,300H,2022
4JGDA5GB8KB204325,SUV,Black,Gasoline,Mercedes-Benz,18846,GLE 400,47891,Base 4MATIC,2019
WDZPE7CC5E5877141,Sedan,White,Diesel,Mercedes-Benz,28790,Sprinter,49999,Normal Roof,2014
1GNSK2E03CR280592,SUV,Black,E85 Flex Fuel,Chevrolet,153128,Tahoe,13491,Special Services,2012
KMUMCDTC8NU011492,SUV,Vik Black,Gasoline,Genesis,12678,GV70,62536,3.5T Sport,2022
W04GU8SX8J1087390,Wagon,White,Gasoline,Buick,36409,Regal TourX,29995,Preferred,2018
WBS2U7C07M7G70297,Coupe,Long Beach Blue Metallic,Gasoline,BMW,24312,M2,59995,Competition,2021
1N4BL4DV5NN376044,Sedan,White,Gasoline,Nissan,629,Altima,26633,2.5 SV,2022
JA3AU86WX9U014608,Sedan,Black,Gasoline,Mitsubishi,126527,Lancer,6900,GTS,2009
5J6YH28524L006436,SUV,Green,Gasoline,Honda,98484,Element,11995,EX,2004
JTHFN48Y450062780,Convertible,White,Gasoline Fuel,Lexus,58277,SC 430,21900,Base,2005
WA1FVAF12LD022333,SUV,Galaxy Blue Metallic,Gasoline,Audi,17109,Q8,79995,55 Premium,2020
WD4PG2EE7G3112027,Passenger Van,Indium Gray Metallic,Gasoline,Mercedes-Benz,73866,Metris,27495,Base,2016
JN8AZ2NFXB9500110,SUV,Moonlight White,Gasoline,INFINITI,112803,QX56,12997,Base,2011
2LMHJ5AT6FBL01921,SUV,Luxe Metallic,Gasoline,Lincoln,65418,MKT,22983,EcoBoost,2015
WDBSK71F59F143422,Convertible,Dark Blue,Gasoline,Mercedes-Benz,51808,SL-Class,28500,SL550 Roadster,2009
5UXCX6C00N9M37229,SUV,Special,Gasoline,BMW,4486,X7,120532,M50i,2022
2G61M5S3XJ9174357,Sedan,Black,Gasoline,Cadillac,43792,XTS,16995,Luxury,2018
1C4SJVEJXNS124003,SUV,Gray,Gasoline,Jeep,1663,Grand Wagoneer,89991,Series I,2022
3VVCB7AX3NM035861,SUV,Pure White,Gasoline,Volkswagen,5889,Tiguan,33550,SE R-Line Black,2022
3VW6T7BU6MM008260,Sedan,Pyrite Silver Metallic,Gasoline,Volkswagen,21164,Jetta GLI,31990,2.0T Autobahn,2021
WBAYB6C58ED224735,Sedan,Black,Gasoline,BMW,50385,750,28950,i xDrive,2014
1FATP8UH0J5156282,Convertible,Gray,Gasoline,Ford,56929,Mustang,26999,EcoBoost Premium,2018
YV4BR0DK8M1821029,SUV,Black,Hybrid,Volvo,7708,XC60 Recharge Plug-In Hybrid,49999,T8 Inscription Expression,2021
4JGFD6BB5NA588670,SUV,Mojave Silver Metallic,Gasoline,Mercedes-Benz,3482,AMG GLE 53,109990,Base,2022
4JGFD6BB6NA731982,SUV,White,Gasoline,Mercedes-Benz,4312,AMG GLE 53,130595,Base,2022
1FADP5EU1HL102431,Hatchback,White Gold Metallic,Hybrid,Ford,52956,C-Max Energi,17995,SE,2017
KMHRB8A39NU141458,SUV,Stellar Silver,Gasoline,Hyundai,9798,Venue,19998,SE,2022
W1K6X7GB2MA023940,Sedan,Red,Gasoline,Mercedes-Benz,1900,Maybach S 580,224999,4MATIC,2021
SCFBB03B88GC08733,Coupe,Jet Black,Gasoline,Aston Martin,45685,V8 Vantage,42995,Base,2008
19VDE1F74DE012672,Sedan,NULL,Gasoline,Acura,132975,ILX,10895,2.0L,2013
1G6YV34A155600189,Convertible,Black,Gasoline,Cadillac,110000,XLR,15600,Base,2005
YV4A22PK2H1185804,SUV,Gray,Gasoline,Volvo,39303,XC90,37998,T6 Momentum,2017
19XZE4F54NE007146,Sedan,White,Hybrid,Honda,7340,Insight,31995,EX,2022
W1KAF4GB3NR042494,Sedan,Moonlight White,Gasoline,Mercedes-Benz,1751,C-Class,49844,C 300,2022
3VW6T7BUXMM027166,Sedan,Tornado Red w/ Black Roof,Gasoline,Volkswagen,9612,Jetta GLI,30572,2.0T Autobahn,2021
2GTEC13TX41412736,Pickup Truck,White,Gasoline,GMC,99397,Sierra 1500,13999,SLE,2004
KMUMCDTC2NU017370,SUV,Red,Gasoline,Genesis,5719,GV70,63544,3.5T Sport,2022
2HNYB1H64AH502786,SUV,Pearl White,Gasoline,Acura,109780,ZDX,16999,LX,2010
WUAC6AFH8EN900477,Convertible,Phantom Black Pearl Effect / Black Roof,Gasoline,Audi,56261,RS 5,43981,4.2,2014
5J6TF2H55CL008647,SUV,Crystal Black Pearl,Gasoline,Honda,95074,Crosstour,15880,EX-L,2012
WDDUG8JB8JA345211,Sedan,designo Diamond White Metallic,Gasoline,Mercedes-Benz,53088,AMG S 63,91900,Base 4MATIC,2018
YV4612UM3G2000652,Sedan,Gray Metallic,Gasoline,Volvo,78282,S60 Cross Country,24588,T5 Platinum,2016
1G6YX36D465602490,Convertible,Black Raven,Gasoline,Cadillac,48882,XLR,36798,V,2006
5N1BA08A67N720804,SUV,Silver Lightning,E85 Flex Fuel,Nissan,93628,Armada,16999,LE,2007
5FRYD4H78HB012828,SUV,White Diamond Pearl,Gasoline,Acura,89508,MDX,34995,3.5L w/Technology & Entertainment Pkgs,2017
YV4BR0CK3K1449940,SUV,Ice White,Hybrid,Volvo,37630,XC90 Hybrid,58487,T8 Momentum,2019
WVWVA7AUXKW197126,Hatchback,Oryx White Pearl Effect,Gasoline,Volkswagen,13056,Golf R,42998,2.0T w/DCC & Navigation,2019
5LMJJ2LTXMEL10547,SUV,Black,Gasoline,Lincoln,15077,Navigator,80711,Reserve,2021
JTHBF1D2XF5048995,Sedan,Black,Gasoline,Lexus,73866,IS 250,25999,Base (A6),2015
WBAJV6C5XKBK08147,Hatchback,Carbon Black Metallic,Gasoline,BMW,41546,640 Gran Turismo,44880,i xDrive,2019
WDDYJ7HAXHA010553,Coupe,Magnetite Black Metallic,Gasoline,Mercedes-Benz,50225,AMG GT,79880,AMG GT,2017
LYVBR0DM5KB242459,SUV,Onyx Black Metallic,Hybrid,Volvo,20052,XC60 Hybrid,51880,T8 R-Design,2019
ZHWGU6BZ4DLA12555,Convertible,Nero Noctis,Gasoline,Lamborghini,30625,Gallardo,138995,LP550-2,2013
